serialanon,gorehs,hhcomp1,hhsizex,ndepchild,agehrp4x,agehrp6x,emphrpx,ethhrp2x,sexhrp,nbedsx,accomhh1,lenresb,ftbuyer,tenure4,mortwkx,rentwkx,amthbenx,housbenx,HYEARGRx,hhvulx
18190021307,9,7,1,0,4,6,3,1,2,1,4,4,2,1,0.00,-9.00,-9.00,-9,11479.00,2
18190021309,10,1,2,0,4,6,3,1,1,4,2,8,2,1,0.00,-9.00,-9.00,-9,13650.00,2
18190021310,2,3,2,1,2,3,1,1,2,2,3,3,3,3,-9.00,109.62,0.00,2,19276.40,1
18190021311,1,3,2,1,2,3,6,1,2,2,3,2,2,1,0.00,-9.00,-9.00,-9,24918.40,1
18190021315,7,1,2,0,3,5,3,1,1,3,2,8,1,1,0.00,-9.00,-9.00,-9,20020.00,2
18190021316,10,1,2,0,3,5,1,1,1,5,1,4,3,3,-9.00,438.46,0.00,2,100000.00,2
18190021317,9,1,4,0,3,5,1,1,1,3,3,7,1,1,35.19,-9.00,-9.00,-9,48400.00,2
18190021320,10,6,1,0,4,6,1,1,1,3,2,8,2,1,0.00,-9.00,-9.00,-9,36076.29,2
18190021322,6,7,1,0,4,6,3,1,2,5,1,8,1,1,0.00,-9.00,-9.00,-9,10312.00,2
18190021323,7,1,5,3,1,2,1,1,1,3,3,4,3,2,-9.00,138.46,0.00,2,51662.86,2
18190021325,7,1,2,0,4,6,1,1,1,3,2,6,2,1,0.00,-9.00,-9.00,-9,29205.00,2
18190021326,8,3,3,2,2,3,6,1,2,2,4,5,3,2,-9.00,130.00,130.00,1,13411.00,1
18190021327,2,1,3,1,3,4,1,2,1,3,2,6,3,2,-9.00,123.75,0.00,2,49436.40,1
18190021328,10,6,1,0,4,6,3,1,1,3,2,8,2,1,0.00,-9.00,-9.00,-9,33079.50,2
18190021331,10,7,1,0,2,3,1,1,2,4,1,5,2,1,173.08,-9.00,-9.00,-9,23202.50,2
18190021333,4,7,1,0,4,6,3,1,2,4,3,8,3,2,-9.00,77.54,77.54,1,8476.00,1
18190021335,5,7,1,0,4,6,3,1,2,2,2,6,2,1,0.00,-9.00,-9.00,-9,25048.60,2
18190021337,2,7,1,0,4,6,3,1,2,1,4,7,3,2,-9.00,69.23,69.23,1,25493.00,1
18190021338,9,6,1,0,2,3,1,1,1,2,4,2,3,3,-9.00,177.69,0.00,2,88437.50,2
18190021341,8,1,2,0,2,2,1,1,1,2,5,5,1,1,136.15,-9.00,-9.00,-9,62606.25,2
18190021342,9,6,1,0,4,6,3,1,1,3,2,7,3,2,-9.00,100.00,51.56,1,13322.00,1
18190021343,8,1,4,2,3,5,2,1,1,3,3,5,3,2,-9.00,133.85,124.62,1,16348.80,1
18190021344,7,1,3,0,3,5,1,2,2,3,3,4,3,2,-9.00,249.23,0.00,2,46037.50,2
18190021348,6,3,2,0,4,6,3,1,2,2,2,5,1,1,0.00,-9.00,-9.00,-9,26788.00,1
18190021350,9,1,3,0,3,5,2,1,2,3,2,6,2,1,0.00,-9.00,-9.00,-9,41567.50,2
18190021352,6,1,3,1,3,5,1,1,1,5,1,7,2,1,0.00,-9.00,-9.00,-9,61076.60,2
18190021353,6,7,1,0,4,6,3,1,2,3,1,7,2,1,0.00,-9.00,-9.00,-9,32715.50,2
18190021354,6,7,1,0,4,6,3,1,2,4,2,5,2,1,0.00,-9.00,-9.00,-9,31275.00,2
18190021355,9,1,2,0,2,3,1,1,1,3,2,4,2,1,367.85,-9.00,-9.00,-9,100000.00,2
18190021358,7,1,2,0,3,5,1,1,1,2,3,1,2,1,0.00,-9.00,-9.00,-9,58144.37,2
18190021359,7,1,2,0,1,1,5,2,2,1,5,2,3,3,-9.00,138.46,0.00,2,34320.00,2
18190021361,5,1,2,0,4,6,3,1,1,2,1,8,2,1,0.00,-9.00,-9.00,-9,24725.00,2
18190021362,8,3,3,2,2,3,1,2,2,2,4,5,3,2,-9.00,150.00,0.00,2,33954.79,2
18190021363,10,7,1,0,2,2,1,1,2,1,2,1,3,3,-9.00,128.08,0.00,2,19315.00,2
18190021366,6,6,1,0,2,3,1,2,1,2,3,6,1,1,61.89,-9.00,-9.00,-9,32027.40,2
18190021368,7,1,2,0,3,4,1,1,2,3,2,6,3,2,-9.00,121.15,0.00,2,72380.00,2
18190021370,10,7,1,0,4,6,3,1,2,2,2,8,3,2,-9.00,88.31,0.00,2,14141.50,2
18190021372,10,6,1,0,3,4,1,1,1,1,5,5,3,3,-9.00,132.69,0.00,2,26012.50,2
18190021374,2,6,1,0,3,5,1,1,1,2,5,1,3,3,-9.00,150.00,0.00,2,25075.00,2
18190021379,4,1,2,0,3,4,1,1,1,3,2,6,2,1,8.77,-9.00,-9.00,-9,36037.50,2
18190021381,10,3,2,0,4,6,3,1,2,4,5,5,2,1,138.46,-9.00,-9.00,-9,43528.50,2
18190021382,9,1,3,1,2,3,1,1,1,1,4,4,3,2,-9.00,111.92,0.00,2,28191.40,2
18190021385,7,6,1,0,3,4,1,1,1,2,3,6,3,2,-9.00,100.00,0.00,2,22100.00,2
18190021386,6,4,2,0,1,1,2,2,1,2,5,1,3,3,-9.00,207.69,0.00,2,18745.00,2
18190021390,10,6,1,0,3,5,3,1,1,3,2,3,2,1,162.73,-9.00,-9.00,-9,3900.00,2
18190021391,10,7,1,0,1,2,1,1,2,1,3,1,3,3,-9.00,96.92,0.00,2,18218.75,2
18190021393,5,1,2,0,3,4,1,1,1,3,2,5,3,3,-9.00,126.92,0.00,2,27300.00,2
18190021395,2,1,3,1,2,2,1,1,1,2,3,5,3,3,-9.00,122.31,0.00,2,29156.40,2
18190021399,10,7,1,0,4,6,3,1,2,3,1,8,2,1,0.00,-9.00,-9.00,-9,28454.50,2
18190021401,7,7,1,0,3,4,1,1,2,2,3,6,1,1,88.85,-9.00,-9.00,-9,15080.00,2
18190021403,9,1,2,0,1,1,1,1,2,2,4,1,3,3,-9.00,178.85,0.00,2,52675.00,2
18190021404,2,1,2,0,4,6,3,1,1,4,1,8,2,1,0.00,-9.00,-9.00,-9,23608.00,2
18190021407,9,7,1,0,4,6,3,1,2,2,2,8,3,3,-9.00,142.99,140.77,1,14125.00,1
18190021408,1,7,1,0,4,6,3,1,2,2,2,8,2,1,0.00,-9.00,-9.00,-9,26635.00,2
18190021409,8,1,2,0,3,5,2,1,1,3,2,7,1,1,0.00,-9.00,-9.00,-9,44575.00,2
18190021410,8,1,2,0,2,3,1,1,1,1,4,4,3,3,-9.00,311.54,0.00,2,73025.00,2
18190021411,8,6,1,0,2,3,6,1,1,2,4,6,3,2,-9.00,124.76,119.00,1,15509.00,1
18190021412,2,3,2,1,2,3,5,1,2,2,3,1,3,3,-9.00,115.38,109.62,1,8356.40,1
18190021415,10,1,3,1,3,5,1,1,1,3,2,6,2,1,143.84,-9.00,-9.00,-9,62105.76,2
18190021416,4,1,3,0,4,6,3,1,2,2,5,5,3,2,-9.00,101.00,101.00,1,16458.00,1
